Type,Title,Date Added,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Rating,_merge,Original Network,Netflix Exclusive Regions,Original
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",6.8,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Music,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,\N,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Romance,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Mystery,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Comedy,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Short,-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Drama,Short",-,both,Netflix,Worldwide,True
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,"Horror,Short",-,both,Netflix,Worldwide,True
