Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
College Romance,2018,2019,"Comedy,Drama,Romance",TV Show,TV-MA,False,9.2,-
Crash,2004,2019,"Crime,Drama",Movie,R,False,6.1,-
Dumb and Dumberer: When Harry Met Lloyd,2003,2019,Comedy,Movie,PG-13,False,3.4,-
Earth to Echo,2014,2019,Family,Movie,PG,False,7.0,-
Engineering Girls,2018,2019,"Comedy,Drama",TV Show,TV-14,False,7.0,-
"Escape from the ""Liberty"" Cinema",1990,2019,-,Movie,TV-MA,False,-,-
Exit Wounds,2001,2019,"Drama,Mystery,Sci-Fi",Movie,R,False,8.4,-
First Kiss,2018,2019,"Comedy,Romance",Movie,TV-PG,False,4.3,-
Girls Hostel,2018,2019,"Comedy,Drama",TV Show,TV-MA,False,8.6,-
Good Burger,1997,2019,Comedy,Movie,PG,False,7.9,-
Good Luck Chuck,2007,2019,Comedy,Movie,UR,False,6.9,-
Harold & Kumar Escape from Guantanamo Bay,2008,2019,"Adventure,Comedy",Movie,R,False,6.6,-
Honey 2,2011,2019,"Comedy,Drama,Music",Movie,PG-13,False,5.3,-
Hotel Pacific,1975,2019,-,Movie,TV-MA,False,-,-
House of the Witch,2017,2019,"Fantasy,Horror,Mystery",Movie,TV-14,False,5.0,-
Inmates,2017,2019,Documentary,TV Show,TV-MA,False,8.7,-
Jealousy and medicine,1973,2019,-,Movie,TV-MA,False,-,-
Knowing,2009,2019,"Drama,Family,Short",Movie,PG-13,False,6.1,-
Limitless,2017,2019,Documentary,Movie,TV-PG,False,7.0,Netflix
Little Baby Bum: Go Buster,2019,2019,-,Movie,TV-Y,False,-,-
Medium,1985,2019,Thriller,Movie,TV-MA,False,8.0,Hulu
Men in Black II,2002,2019,Comedy,Movie,PG-13,False,7.7,-
Miniforce X,2018,2019,-,TV Show,TV-Y7-FV,False,-,-
Nikki Glaser: Bangin’,2019,2019,-,Movie,TV-MA,False,-,-
No Reservations,2007,2019,"Comedy,Short",Movie,PG,False,8.9,-
Ocean's Thirteen,2007,2019,"Crime,Thriller",Movie,PG-13,False,6.9,-
Ocean's Twelve,2004,2019,"Crime,Thriller",Movie,PG-13,False,6.5,-
One Direction: This Is Us,2013,2019,"Documentary,Music",Movie,PG,False,4.1,-
Raging Bull,1980,2019,Reality-TV,Movie,R,False,7.8,-
Rugrats in Paris: The Movie,2000,2019,"Action,Adventure,Comedy",Movie,G,False,6.5,-
Scream 2,1997,2019,"Horror,Short",Movie,R,False,4.1,-
Senna,2010,2019,"Biography,Documentary,Sport",Movie,PG-13,False,8.6,-
Signal,2016,2019,Crime,TV Show,TV-14,False,7.6,Netflix
Sin City,2005,2019,Comedy,Movie,R,False,5.4,-
Sinister Circle,2017,2019,-,Movie,TV-MA,False,-,-
Supergirl,1984,2019,Comedy,Movie,PG,False,7.7,Netflix
Superman Returns,2006,2019,Comedy,Movie,PG-13,False,7.2,-
Surf's Up,2007,2019,"Comedy,Drama,Family",Movie,PG,False,8.7,-
The Bounty Hunter,2010,2019,"Action,Short",Movie,PG-13,False,9.6,-
The Bucket List,2007,2019,Comedy,Movie,PG-13,False,6.5,-
The Cruise,1970,2019,Reality-TV,Movie,TV-PG,False,8.2,-
The Figurine (Araromire),2009,2019,-,Movie,TV-14,False,-,-
The Flintstones,1994,2019,Animation,Movie,PG,False,8.3,-
The Flintstones in Viva Rock Vegas,2000,2019,Comedy,Movie,PG,False,7.4,-
The K2,2016,2019,Thriller,TV Show,TV-14,False,9.0,Netflix
The Liar and His Lover,2017,2019,-,TV Show,TV-PG,False,-,-
The lynx,1982,2019,-,Movie,TV-14,False,-,-
The Pursuit of Happyness,2006,2019,"Biography,Drama",Movie,PG-13,False,8.0,-
The Rugrats Movie,1998,2019,"Adventure,Animation,Comedy",Movie,G,False,5.9,-
The spiral,1978,2019,-,Movie,TV-MA,False,-,-
The Squid and the Whale,2005,2019,"Comedy,Drama",Movie,R,False,7.3,-
The Time Traveler's Wife,2009,2019,"Drama,Fantasy,Romance",Movie,PG-13,False,7.1,-
Trainspotting,1996,2019,"Animation,Comedy,Drama",Movie,R,False,3.4,-
Troy,2004,2019,Reality-TV,Movie,R,False,6.1,-
Tunnel,2017,2019,"Animation,Horror,Short",TV Show,TV-MA,False,6.2,Netflix
Unaccompanied Minors,2006,2019,"Adventure,Comedy,Family",Movie,PG,False,5.3,-
Walking Out,2017,2019,"Adventure,Drama,Mystery",Movie,PG-13,False,5.8,-
Weather forecast,1983,2019,-,Movie,TV-MA,False,-,-
Westerplatte Resists,1967,2019,-,Movie,TV-MA,False,-,-
25 Kille,2016,2018,"Comedy,Drama",Movie,TV-PG,False,5.8,-
A Witches' Ball,2017,2018,Family,Movie,PG,False,5.2,-
Agyaat,2009,2018,"Drama,Horror,Mystery",Movie,TV-MA,False,2.9,-
Anjaan,2014,2018,"Action,Thriller",Movie,TV-MA,False,4.9,-
Bathinda Express,2016,2018,Drama,Movie,TV-14,False,6.1,-
Brooklyn's Finest,2009,2018,"Crime,Drama,Thriller",Movie,R,False,6.7,-
Chappaquiddick,2017,2018,"Drama,History,Thriller",Movie,PG-13,False,6.5,-
Civilizations,2018,2018,-,TV Show,TV-14,False,-,-
Delhi 6,2009,2018,-,Movie,TV-14,False,-,-
Dev.D,2009,2018,"Comedy,Drama,Romance",Movie,TV-MA,False,8.0,-
Dil Vil Pyaar Vyaar,2014,2018,Family,Movie,TV-PG,False,6.5,-
Dushman,2017,2018,Drama,Movie,TV-14,False,6.7,-
Earth's Natural Wonders: Life at the Extremes,2018,2018,-,TV Show,TV-14,False,-,-
Ek Main Aur Ekk Tu,2012,2018,"Comedy,Drama,Romance",Movie,TV-14,False,5.8,-
Fishtail,2015,2018,"Comedy,Drama,Fantasy",Movie,NR,False,8.6,-
Freedom at Midnight,2018,2018,-,Movie,TV-MA,False,-,-
Haani,2013,2018,"Family,Romance",Movie,TV-14,False,7.1,-
Happy Go Lucky,2014,2018,Comedy,Movie,TV-14,False,6.6,-
Harishchandrachi Factory,2009,2018,"Biography,Comedy,Drama",Movie,TV-PG,False,8.4,-
Hot Date,2018,2018,Comedy,TV Show,TV-MA,False,7.1,Prime
Jagga Jasoos,2017,2018,"Action,Adventure,Comedy",Movie,TV-14,False,6.4,-
Jatt James Bond,2014,2018,Comedy,Movie,TV-14,False,6.7,-
Jodhaa Akbar,2008,2018,"Action,Drama,History",Movie,TV-14,False,7.6,-
Judge Singh LLB,2015,2018,Drama,Movie,TV-14,False,7.4,-
Kaminey,2009,2018,"Action,Crime,Drama",Movie,TV-MA,False,7.4,-
Kevin Hart: Laugh at My Pain,2011,2018,"Comedy,Documentary",Movie,R,False,7.4,-
Kevin Hart: Seriously Funny,2010,2018,"Comedy,Documentary",Movie,TV-MA,False,7.6,-
Khido Khundi,2018,2018,"Drama,Sport",Movie,TV-14,False,6.5,-
Khoobsurat,2014,2018,"Comedy,Romance",Movie,TV-14,False,6.4,-
Kingdoms of the Sky,2018,2018,-,TV Show,TV-PG,False,-,-
Kisaan,2009,2018,"Action,Crime,Drama",Movie,TV-14,False,5.4,-
Kismat Konnection,2008,2018,"Comedy,Drama,Romance",Movie,TV-PG,False,5.2,-
Kurbaan,2009,2018,"Action,Crime,Drama",Movie,TV-MA,False,5.7,-
Lock,2016,2018,Thriller,Movie,TV-14,False,6.2,-
Luv Shuv Tey Chicken Khurana,2012,2018,Comedy,Movie,TV-14,False,6.6,-
"Main, Meri Patni Aur Woh",2005,2018,-,Movie,TV-14,False,-,-
Manje Bistre,2017,2018,"Comedy,Drama",Movie,TV-PG,False,6.6,-
Motor Mitraan Di,2016,2018,Comedy,Movie,TV-14,False,6.4,-
Mountain,2017,2018,Documentary,Movie,PG,False,7.6,-
Mugamoodi,2012,2018,"Action,Adventure",Movie,TV-14,False,5.0,-
Muran,2011,2018,"Action,Thriller",Movie,TV-14,False,6.5,-
My Friend Pinto,2011,2018,"Comedy,Crime,Drama",Movie,TV-PG,False,5.3,-
My Little Pony Equestria Girls: Forgotten Friendship,2018,2018,"Animation,Comedy,Drama",Movie,TV-Y7,False,7.1,-
My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,2018,"Animation,Comedy,Drama",Movie,TV-Y7,False,6.3,-
My Suicide,2009,2018,"Comedy,Drama",Movie,NR,False,7.2,-
Naan Sigappu Manithan,2014,2018,"Action,Drama,Thriller",Movie,TV-MA,False,6.5,-
Nasha,2013,2018,"Drama,Thriller",Movie,TV-MA,False,3.2,-
Nature: Animals With Cameras,2018,2018,-,TV Show,TV-PG,False,-,-
Naughty Jatts,2013,2018,Comedy,Movie,TV-PG,False,6.3,-
Needhi Singh,2016,2018,"Action,Drama,Thriller",Movie,TV-MA,False,6.0,-
Peace Haven,2016,2018,"Comedy,Drama,Fantasy",Movie,TV-14,False,6.3,-
Phantom,2015,2018,"Comedy,Drama",Movie,TV-14,False,5.2,-
Pizza,2014,2018,Documentary,Movie,TV-14,False,8.2,-
Pooja Kiven Aa,2013,2018,Comedy,Movie,TV-PG,False,5.3,-
Race,2008,2018,"Action,Adventure,Animation",Movie,TV-14,False,8.3,-
Race 2,2013,2018,"Action,Crime,Thriller",Movie,TV-14,False,5.3,-
Saadey CM Saab,2015,2018,"Comedy,Family",Movie,TV-14,False,5.8,-
Sat Shri Akaal England,2017,2018,"Comedy,Family",Movie,TV-14,False,5.2,-
Strong,2016,2018,-,TV Show,TV-PG,False,-,Netflix
Thaandavam,2012,2018,"Action,Thriller",Movie,TV-14,False,6.1,-
The Birth Reborn,2018,2018,-,Movie,TV-MA,False,-,-
Theeya Velai Seyyanum Kumaru,2013,2018,-,Movie,TV-PG,False,-,-
Three Wives One Husband,2018,2018,-,TV Show,TV-PG,False,-,-
Tiger,2016,2018,Documentary,Movie,TV-MA,False,8.4,-
Udaan,2010,2018,Drama,Movie,TV-MA,False,6.1,-
V for Vendetta,2005,2018,Comedy,Movie,R,False,5.8,-
Vettai,2012,2018,Action,Movie,TV-MA,False,5.9,-
Wake Up Sid,2009,2018,"Comedy,Drama,Romance",Movie,TV-14,False,7.6,-
We Are Family,2010,2018,"Comedy,Drama",Movie,TV-PG,False,7.8,-
What the Jatt!!,2015,2018,Comedy,Movie,TV-14,False,5.4,-
Zack and Miri Make a Porno,2008,2018,Comedy,Movie,R,False,5.9,-
Zindagi Kitni Haseen Hay,2016,2018,"Adventure,Romance",Movie,TV-14,False,6.2,-
26 Years,2012,2017,"Drama,Sci-Fi,Short",Movie,TV-MA,False,7.6,-
April and the Extraordinary World,2015,2017,-,Movie,PG,False,-,-
Barbie & Her Sisters in a Pony Tale,2013,2017,"Animation,Family",Movie,TV-Y,False,6.2,-
Barbie in A Mermaid Tale,2010,2017,-,Movie,TV-Y,False,-,-
Barbie in Princess Power,2015,2017,"Animation,Family,Fantasy",Movie,TV-Y,False,5.5,-
Barbie in Rock 'N Royals,2015,2017,"Animation,Family",Movie,TV-Y,False,6.0,-
Barbie Star Light Adventure,2016,2017,-,Movie,TV-Y,False,-,-
Barbie: A Fairy Secret,2010,2017,"Animation,Family,Fantasy",Movie,TV-Y7,False,5.6,-
Barbie: Princess Charm School,2011,2017,"Animation,Family,Fantasy",Movie,TV-Y,False,6.4,-
Barbie: Spy Squad,2016,2017,"Animation,Family",Movie,TV-Y,False,5.7,-
Barbie: The Princess & the Popstar,2012,2017,"Animation,Family,Musical",Movie,TV-Y,False,5.6,-
Barbie: Video Game Hero,2017,2017,-,Movie,TV-Y,False,-,-
Beyblade Burst,2016,2017,"Action,Animation",TV Show,TV-Y7,False,6.5,-
Boy and the World,2013,2017,-,Movie,PG,False,-,-
City in the Sky,2016,2017,Documentary,TV Show,TV-PG,False,8.0,-
Equestria Girls: Tales of Canterlot High,2017,2017,-,TV Show,TV-Y,False,-,-
Food: Delicious Science,2017,2017,-,TV Show,TV-PG,False,-,-
For Your Own Good,2017,2017,Comedy,Movie,TV-MA,False,8.1,-
Franca: Chaos and Creation,2016,2017,"Biography,Documentary",Movie,TV-MA,False,7.6,-
Frances Ha,2012,2017,"Comedy,Drama,Romance",Movie,R,False,7.4,-
Generation Iron 2,2017,2017,Documentary,Movie,PG-13,False,6.1,-
Ghost Patrol,2016,2017,"Adventure,Animation",Movie,TV-Y7-FV,False,4.9,-
Great Yellowstone Thaw,2017,2017,Documentary,TV Show,TV-PG,False,7.9,-
I Am Bolt,2016,2017,"Biography,Documentary,Sport",Movie,PG,False,7.1,-
I'm in Love with a Church Girl,2013,2017,"Crime,Drama,Romance",Movie,PG,False,4.4,-
Ice Guardians,2016,2017,"Documentary,Sport",Movie,TV-MA,False,7.5,-
Justice in the City,2012,2017,-,TV Show,TV-14,False,-,-
Kahlil Gibran's The Prophet,2014,2017,-,Movie,PG,False,-,-
Miss Hokusai,2015,2017,-,Movie,PG-13,False,-,-
Monster High: Great Scarrier Reef,2016,2017,"Animation,Fantasy",Movie,TV-Y7,False,6.1,-
Monster High: New Ghoul at School,2010,2017,"Animation,Fantasy,Short",Movie,TV-Y7,False,6.8,-
My Life as a Zucchini,2016,2017,-,Movie,PG-13,False,-,-
Nature's Great Race,2016,2017,-,TV Show,TV-PG,False,-,-
Phantom Boy,2015,2017,"Action,Adventure,Animation",Movie,PG,False,6.6,-
PJ Masks,2016,2017,"Action,Adventure,Animation",TV Show,TV-Y,False,5.8,Netflix
Sudden,2013,2017,-,TV Show,TV-14,False,-,-
The Code,2014,2017,Comedy,TV Show,TV-MA,False,8.1,Netflix
The Dream Catchers,2009,2017,-,TV Show,TV-14,False,-,-
The Free Man,2016,2017,"Action,Documentary,Sport",Movie,TV-PG,False,6.2,-
The Lion Woman,2016,2017,-,Movie,TV-PG,False,-,-
The President's Barber,2004,2017,-,Movie,TV-MA,False,-,-
Tokyo Idols,2017,2017,"Documentary,Music",Movie,TV-14,False,6.8,-
Verónica,2017,2017,Horror,Movie,TV-MA,False,6.2,-
Welcome to Monster High: The Origin Story,2016,2017,-,Movie,TV-Y7,False,-,-
What She Put on the Table,2017,2017,Drama,TV Show,TV-PG,False,6.8,-
Wrong Side Raju,2016,2017,"Drama,Thriller",Movie,TV-MA,False,8.0,-
Be with Me,2015,2016,Drama,TV Show,TV-14,False,6.7,Netflix
Be with You,2015,2016,"Drama,Romance",TV Show,TV-14,False,7.0,-
Bombshell,2016,2016,"Action,Drama,Mystery",Movie,TV-MA,False,7.6,-
Chatô: The King of Brazil,2015,2016,-,Movie,NR,False,-,-
Chewin' the Fat,1999,2016,Comedy,TV Show,TV-14,False,8.2,Netflix
Fall in Love with Me,2014,2016,Romance,TV Show,TV-14,False,7.1,-
Harud,2010,2016,Drama,Movie,TV-14,False,6.6,-
Love Cheque Charge,2014,2016,Drama,TV Show,TV-14,False,7.8,Netflix
Masha's Spooky Stories,2012,2016,Animation,TV Show,TV-Y,False,5.3,Netflix
Much Ado About Nothing,2016,2016,"Comedy,Romance",Movie,NR,False,8.4,-
Murphy's Law of Love,2015,2016,Romance,TV Show,TV-14,False,7.3,Netflix
My Big Night,2015,2016,-,Movie,TV-MA,False,-,-
My Little Pony Equestria Girls: Legend of Everfree,2016,2016,-,Movie,TV-Y7,False,-,-
Old Money,2015,2016,"Drama,Short",TV Show,TV-14,False,7.4,Netflix
Pac's Scary Halloween,2016,2016,-,Movie,TV-Y7,False,-,-
Riphagen - The Untouchable,2016,2016,-,Movie,NR,False,-,-
Robotech,1985,2016,"Action,Adventure,Animation",TV Show,TV-MA,False,8.5,Netflix
Someone Like You,2015,2016,Drama,TV Show,TV-14,False,8.4,Netflix
Umrika,2015,2016,"Comedy,Drama",Movie,TV-14,False,6.6,-
Unchained: The Untold Story of Freestyle Motocross,2016,2016,Documentary,Movie,NR,False,7.9,-
Welcome Mr. President,2013,2016,-,Movie,TV-14,False,-,-
When I See You Again,2015,2016,Drama,TV Show,TV-14,False,7.8,Netflix
Wakfu: The Quest for the Six Eliatrope Dofus,2014,2015,-,TV Show,TV-Y7-FV,False,-,-
A Stoning in Fulham County,1988,2011,"Crime,Drama,Thriller",Movie,NR,False,5.8,-
Adam: His Song Continues,1986,2011,Drama,Movie,NR,False,7.1,-
Hard Lessons,1986,2011,Reality-TV,Movie,NR,False,6.5,-
In Defense of a Married Man,1990,2011,"Crime,Drama",Movie,NR,False,5.6,-
Quiet Victory: The Charlie Wedemeyer Story,1988,2011,Drama,Movie,TV-PG,False,7.8,-
Strange Voices,1987,2011,Drama,Movie,NR,False,6.5,-
The Ryan White Story,1989,2011,"Biography,Drama",Movie,TV-PG,False,7.3,-
Too Young the Hero,1988,2011,"Biography,Drama,War",Movie,NR,False,6.9,-
Triumph of the Heart,1991,2011,-,Movie,TV-PG,False,-,-
Unspeakable Acts,1990,2011,"Biography,Drama",Movie,NR,False,6.2,-
Victim of Beauty,1991,2011,-,Movie,NR,False,-,-
"All's Well, End's Well (2009)",2009,2018,-,Movie,TV-14,False,-,-
Gabriel and the Mountain,2017,2018,-,Movie,TV-MA,False,-,-
Lommbock,2017,2018,Comedy,Movie,TV-MA,False,6.8,-
Love O2O,2016,2018,"Drama,Romance",TV Show,TV-PG,False,8.0,Netflix
Medal of Honor,2018,2018,"Documentary,War",TV Show,TV-MA,True,8.4,Netflix
Outlaw King,2018,2018,"Action,Biography,Drama",Movie,R,True,6.9,-
Super Drags,2018,2018,"Animation,Comedy,Fantasy",TV Show,TV-MA,True,5.6,Netflix
The Queen of Flow,2018,2018,-,TV Show,TV-14,False,-,Netflix
Westside,2018,2018,Musical,TV Show,TV-MA,True,5.8,Netflix
Case,2015,2016,"Crime,Drama,Mystery",TV Show,TV-MA,False,7.2,Netflix
Greatest Events of WWII in Colour,2019,2019,"Documentary,History,War",TV Show,TV-14,False,8.9,-
Green Eggs and Ham,2019,2019,"Adventure,Animation,Comedy",TV Show,TV-Y7,False,8.5,Netflix
Hit & Run,2012,2019,"Horror,Short,Thriller",Movie,R,False,5.5,-
Let It Snow,2019,2019,"Drama,Family,Romance",Movie,PG-13,True,6.7,-
Paradise Beach,2019,2019,"Action,Thriller",Movie,TV-MA,True,4.4,-
Hope Springs Eternal,2018,2018,"Comedy,Drama",Movie,PG,False,4.8,-
The Desert Bride,2017,2018,"Action,Drama,Romance",Movie,TV-14,False,5.6,-
The Sea of Trees,2015,2018,"Drama,Fantasy,Mystery",Movie,PG-13,False,6.1,-
Transfers,2017,2018,-,TV Show,TV-MA,False,-,-
Yes or No 2,2012,2018,-,Movie,TV-PG,False,-,-
Yes or No 2.5,2015,2018,"Comedy,Romance",Movie,TV-PG,False,5.3,-
My Way,2016,2016,"Action,Crime,Drama",Movie,TV-14,False,8.7,-
U Turn,2016,2019,"Drama,Short",Movie,TV-14,False,9.4,-
Damnation,2017,2018,"Crime,Drama,Western",TV Show,TV-14,False,7.7,Netflix
Into the Forest,2015,2018,"Drama,Sci-Fi,Thriller",Movie,R,False,5.8,-
Krisha,2015,2018,Drama,Movie,R,False,7.2,-
Jerry Seinfeld: Comedian,2002,2017,-,Movie,R,False,-,-
P. King Duckling,2016,2017,"Animation,Family",TV Show,TV-Y,False,6.4,Netflix
The Journey Is the Destination,2016,2017,Drama,Movie,R,False,6.3,-
Virunga,2014,2014,"Documentary,War",Movie,TV-MA,True,8.3,-
Burning Cane,2019,2019,Drama,Movie,TV-MA,False,5.4,-
SCAMS,2019,2019,-,TV Show,TV-14,False,-,-
Shadow,2018,2019,Action,Movie,TV-MA,True,6.5,Netflix
Let It Fall: Los Angeles 1982-1992,2017,2017,"Documentary,History",Movie,TV-MA,False,7.7,-
Luccas Neto in: Summer Camp,2019,2019,-,Movie,TV-G,False,-,-
Seth Meyers: Lobby Baby,2019,2019,Comedy,Movie,TV-MA,False,7.6,-
The Lovers,2017,2019,"Drama,Mystery",Movie,R,False,7.9,-
Tune in for Love,2019,2019,-,Movie,TV-MA,True,-,-
Undercover Brother 2,2019,2019,Comedy,Movie,R,False,3.3,-
Voice,2019,2019,"Action,Animation,Drama",TV Show,TV-14,False,7.7,Netflix
Bucket List,2018,2018,Family,Movie,TV-14,False,5.9,-
John Leguizamo's Latin History for Morons,2018,2018,Comedy,Movie,TV-MA,False,7.3,-
Mubarakan,2017,2017,"Comedy,Romance",Movie,PG-13,False,5.6,-
A Holiday Engagement,2011,2019,-,Movie,TV-G,False,-,-
Christmas Crush,2012,2019,-,Movie,TV-PG,False,-,-
Dear Santa,2011,2019,"Animation,Comedy,Drama",Movie,TV-PG,False,8.3,-
District 9,2009,2019,"Comedy,Short",Movie,R,False,3.3,-
Kicking and Screaming,1995,2019,Drama,Movie,R,False,8.4,-
Minimalism: A Documentary About the Important Things,2016,2019,Documentary,Movie,TV-14,False,6.7,-
Oththa Seruppu Size 7,2019,2019,Drama,Movie,TV-MA,False,9.0,-
The Devil Next Door,2019,2019,Documentary,TV Show,TV-MA,True,7.7,Netflix
Williams,2017,2017,"Biography,Documentary,Sport",Movie,TV-MA,False,7.7,-
"Dana Carvey: Straight White Male, 60",2016,2016,Comedy,Movie,TV-MA,False,6.5,-
Qué pena tu serie,2015,2016,-,TV Show,TV-MA,False,-,-
The Ivory Game,2016,2016,Documentary,Movie,TV-14,True,7.9,-
Chocolate,2019,2019,"Adventure,Comedy,Family",TV Show,TV-14,False,5.8,-
Guatemala: Heart of the Mayan World,2019,2019,-,Movie,TV-G,False,-,-
The Zoya Factor,2019,2019,"Comedy,Drama,Romance",Movie,TV-14,False,4.0,-
1983,2018,2018,"Crime,Drama,Thriller",TV Show,TV-MA,False,6.9,Netflix
A Christmas Prince: The Royal Wedding,2018,2018,"Drama,Romance",Movie,TV-PG,True,5.2,-
Angela's Christmas,2018,2018,"Adventure,Animation,Family",Movie,TV-G,True,7.0,-
Cloudy with a Chance of Meatballs,2017,2018,"Animation,Comedy,Family",TV Show,TV-Y7,False,3.3,Netflix
Death by Magic,2018,2018,Reality-TV,TV Show,TV-14,True,6.0,Netflix
El club de los insomnes,2018,2018,-,Movie,TV-MA,False,-,-
Garuda in My Heart 2,2011,2018,-,Movie,TV-PG,False,-,-
Happy as Lazzaro,2018,2018,-,Movie,PG-13,True,-,-
Love,2008,2018,"Comedy,History",Movie,TV-PG,True,7.6,Netflix
Love and Fortune,2018,2018,-,TV Show,TV-MA,False,-,Netflix
Manto,2018,2018,"Biography,Drama",Movie,TV-MA,False,7.4,-
Rajma Chawal,2018,2018,"Comedy,Drama,Family",Movie,TV-MA,True,5.7,-
The World Is Yours,2018,2018,\N,Movie,TV-MA,True,7.9,-
Time Share,2018,2018,"Action,Adventure,Animation",Movie,TV-MA,True,7.8,-
When Two Worlds Collide,2016,2016,Documentary,Movie,TV-14,False,7.7,-
Takers,2010,2019,Crime,Movie,PG-13,False,6.7,-
Hoodwinked Too! Hood vs. Evil,2011,2018,"Animation,Comedy,Crime",Movie,PG,False,4.7,-
Akulah Balqis,2015,2017,-,TV Show,TV-14,False,-,-
Alias Grace,2017,2017,"Biography,Crime,Drama",TV Show,TV-MA,False,7.8,Netflix
Atlantics,2019,2019,-,Movie,TV-14,True,-,-
Crazy people,2018,2019,-,Movie,TV-14,False,-,-
I Lost My Body,2019,2019,-,Movie,TV-MA,True,-,-
Kalushi: The Story of Solomon Mahlangu,2016,2019,"Biography,Drama,Thriller",Movie,TV-MA,False,8.0,-
Lagos Real Fake Life,2018,2019,-,Movie,TV-14,False,-,-
Payday,2018,2019,\N,Movie,TV-MA,False,7.7,-
Sugar Rush Christmas,2019,2019,-,TV Show,TV-PG,True,-,Netflix
The Accidental Spy,2017,2019,Action,Movie,TV-14,False,6.1,-
The Charming Stepmom,2019,2019,-,TV Show,TV-14,False,-,-
The Island,2018,2019,"Action,Thriller",Movie,TV-14,False,7.2,-
The Movies That Made Us,2019,2019,-,TV Show,TV-MA,True,-,Netflix
Holiday Rush,2019,2019,-,Movie,TV-PG,True,-,-
Levius,2019,2019,-,TV Show,TV-14,True,-,Netflix
Lugar de Mulher,2019,2019,-,TV Show,TV-MA,False,-,-
Merry Happy Whatever,2019,2019,-,TV Show,TV-PG,True,-,Netflix
Mythomaniac,2019,2019,-,TV Show,TV-MA,False,-,-
The Score,2001,2019,"Crime,Drama,Mystery",Movie,R,False,7.9,-
Brotherhood of Blades II: The Infernal Battlefield,2017,2018,-,Movie,TV-MA,False,-,-
Broken,2019,2019,Short,TV Show,TV-14,True,9.6,Netflix
Defiance,2008,2019,"Action,Comedy,Crime",Movie,R,False,7.4,Prime
Evvarikee Cheppoddu,2019,2019,Drama,Movie,TV-14,False,8.4,-
Little Singham: Mahabali,2019,2019,-,Movie,TV-Y7,False,-,-
The Body Remembers When the World Broke Open,2019,2019,Drama,Movie,TV-MA,False,7.1,-
The Irishman,2019,2019,"Biography,Crime,Drama",Movie,R,True,8.7,-
Bumping Mics with Jeff Ross & Dave Attell,2018,2018,Comedy,TV Show,TV-MA,False,7.7,Netflix
Minecraft: Story Mode,2015,2018,Adventure,TV Show,TV-Y7-FV,False,5.4,Netflix
Operation Red Sea,2018,2018,-,Movie,TV-MA,False,-,-
Poster Boys,2017,2017,Comedy,Movie,PG-13,False,5.5,-
Mike Birbiglia: The New One,2019,2019,-,Movie,TV-MA,False,-,-
Super Monsters Save Christmas,2019,2019,-,Movie,TV-Y,False,-,-
True: Winter Wishes,2019,2019,-,Movie,TV-Y,False,-,-
Zona Rosa,2019,2019,-,TV Show,TV-MA,False,-,Netflix
Dirty John,2018,2019,Drama,TV Show,TV-14,False,7.1,Netflix
Pranaam,2019,2019,"Action,Crime,Drama",Movie,TV-MA,False,7.0,-
What the F* Is Going On?,2019,2019,-,Movie,TV-MA,False,-,-
Harold and Lillian: A Hollywood Love Story,2015,2018,"Biography,Documentary",Movie,TV-14,False,7.9,-
My Little Pony Friendship Is Magic: Best Gift Ever,2018,2018,-,Movie,TV-Y,False,-,-
Perú: Tesoro escondido,2017,2017,-,Movie,TV-PG,False,-,-
Beauties of the Night,2016,2016,-,Movie,TV-MA,False,-,-
Gilmore Girls: A Year in the Life,2016,2016,"Comedy,Drama",TV Show,TV-14,True,7.8,Netflix
Michael Che Matters,2016,2016,Comedy,Movie,TV-MA,False,7.1,-
Awake,2019,2019,"Mystery,Short",Movie,TV-MA,False,3.7,-
Popeye,1980,2019,Documentary,Movie,PG,False,6.8,-
Shot Caller,2017,2019,"Crime,Drama,Thriller",Movie,R,False,7.3,-
Strong Girl Bong-soon,2017,2019,-,TV Show,TV-14,False,-,-
Bushwick,2017,2017,"Action,Adventure,Drama",Movie,TV-MA,True,5.2,-
Cuba and the Cameraman,2017,2017,Documentary,Movie,TV-14,True,8.2,-
The Girl from the Song,2016,2017,"Drama,Music,Romance",Movie,TV-MA,False,5.6,-
The Many Faces of Ito,2017,2017,-,TV Show,TV-14,False,-,Netflix
Trailer Park Boys: Out of the Park: USA,2017,2017,-,TV Show,TV-MA,False,-,-
Charlotte's Web,1973,2019,"Crime,Drama,Mystery",Movie,G,False,7.9,-
End of Watch,2012,2019,"Crime,Drama,Mystery",Movie,R,False,8.4,-
Hamburger Hill,1987,2019,"Action,Drama,Thriller",Movie,R,False,6.7,-
Once Upon A Time In Lingjian Mountain,2019,2019,-,TV Show,TV-PG,False,-,-
The Time Machine,2002,2019,"Adventure,Animation,Family",Movie,PG-13,False,5.8,-
Fugitiva,2018,2018,Drama,TV Show,TV-MA,False,5.6,Netflix
Bright: The Music Videos,2017,2017,-,TV Show,TV-14,False,-,-
Deep,2017,2017,Action,Movie,PG,False,7.0,-
Brother,2019,2019,"Drama,Short",Movie,TV-MA,True,7.1,-
Dino Girl Gauko,2019,2019,-,TV Show,TV-Y7-FV,True,-,Netflix
Dolly Parton's Heartstrings,2019,2019,-,TV Show,TV-14,True,-,Netflix
Girls und Panzer der Film,2015,2019,-,Movie,TV-14,False,-,-
