Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
Paradise Lost,2018,2018,"Action,Drama,War",Movie,TV-MA,False,8.9,-
Gerald's Game,2017,2017,"Comedy,Talk-Show",Movie,TV-MA,True,6.9,-
Long Shot,2017,2017,"Documentary,Short,Sport",Movie,TV-14,True,7.4,-
Mak Cun,2015,2017,-,TV Show,TV-PG,False,-,-
Our Souls at Night,2017,2017,"Drama,Romance",Movie,TV-14,True,6.9,-
Out of Thin Air,2017,2017,"Crime,Documentary",Movie,TV-14,False,6.3,-
Paul Hollywood's Big Continental Road Trip,2017,2017,Documentary,TV Show,TV-14,False,7.6,Netflix
Satu Hari,2014,2017,-,TV Show,TV-14,False,-,-
"Monster High: Boo York, Boo York",2015,2015,"Animation,Fantasy",Movie,TV-Y7,False,6.5,-
Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2019,2019,-,Movie,TV-G,False,-,-
Domino,2019,2019,"Short,Thriller",Movie,R,False,9.1,-
TUNA GIRL,2019,2019,-,Movie,TV-PG,False,-,-
5CM,2012,2018,-,Movie,TV-14,False,-,-
Animal World,2018,2018,"Action,Adventure,Animation",Movie,TV-MA,False,7.8,-
Hold the Dark,2018,2018,"Drama,Horror,Mystery",Movie,TV-MA,True,5.6,-
Lessons from a School Shooting: Notes from Dunblane,2018,2018,-,Movie,TV-PG,True,-,-
Made in Mexico,2018,2018,Reality-TV,TV Show,TV-MA,True,3.9,Netflix
Single,2015,2018,Comedy,Movie,TV-PG,False,6.8,-
The 3rd Eye,2018,2018,-,Movie,TV-MA,True,-,-
The Sinking Of Van Der Wijck,2013,2018,-,Movie,TV-14,False,-,-
Two Catalonias,2018,2018,-,Movie,TV-MA,True,-,-
Bobby Sands: 66 Days,2016,2017,"Biography,Documentary,History",Movie,TV-14,False,7.3,-
Bard of Blood,2019,2019,"Action,Adventure,Drama",TV Show,TV-MA,True,7.4,Netflix
Deliha 2,2018,2019,Comedy,Movie,TV-PG,False,4.5,-
Dragons: Rescue Riders,2019,2019,"Adventure,Animation,Comedy",TV Show,TV-Y,False,7.3,Netflix
In the Shadow of the Moon,2019,2019,"Crime,Mystery,Sci-Fi",Movie,TV-MA,True,6.2,-
Skylines,2019,2019,Drama,TV Show,TV-MA,True,7.7,Netflix
Sturgill Simpson Presents Sound & Fury,2019,2019,-,Movie,TV-MA,False,-,-
The Politician,2019,2019,"Comedy,Drama",TV Show,TV-14,True,7.6,Netflix
Weeds on Fire,2016,2018,-,Movie,TV-14,False,-,-
Much Loved,2015,2017,Drama,Movie,TV-MA,False,6.2,-
Joseph: King of Dreams,2000,2011,"Adventure,Animation,Biography",Movie,TV-PG,False,6.5,-
Malaal,2019,2019,"Action,Drama,Romance",Movie,TV-14,False,5.6,-
The Grandmaster,2013,2019,"Action,Comedy,Family",Movie,PG-13,False,8.2,-
The Inmate,2018,2019,"Fantasy,Horror,Short",TV Show,TV-MA,False,7.6,Netflix
The Hurricane Heist,2018,2018,"Action,Adventure,Crime",Movie,PG-13,False,5.1,-
Def Comedy Jam 25,2017,2017,"Comedy,Documentary",Movie,TV-MA,False,6.6,-
Restless Creature: Wendy Whelan,2016,2017,Documentary,Movie,TV-MA,False,7.1,-
Print the Legend,2014,2014,"Biography,Documentary,Drama",Movie,TV-14,True,7.1,-
Birders,2019,2019,"Documentary,Short",Movie,TV-G,True,7.0,-
Furie,2019,2019,Thriller,Movie,TV-MA,True,6.8,-
Leap!,2016,2019,-,Movie,PG,False,-,-
Oh! Baby (Malayalam),2019,2019,-,Movie,TV-14,False,-,-
Oh! Baby (Tamil),2019,2019,-,Movie,TV-14,False,-,-
USS Indianapolis: Men of Courage,2016,2019,"Action,Drama,History",Movie,R,False,5.2,-
A Wrinkle in Time,2018,2018,Comedy,Movie,PG,False,6.8,-
Teach Us All,2017,2017,Documentary,Movie,TV-14,False,6.7,-
White Island,2016,2017,Comedy,Movie,TV-MA,False,4.3,-
Inside Man: Most Wanted,2019,2019,Action,Movie,R,False,5.5,-
Jeff Dunham: Beside Himself,2019,2019,Comedy,Movie,TV-MA,False,6.7,-
China Salesman,2017,2018,"Action,Drama",Movie,TV-MA,False,3.0,-
Swearnet: The Movie,2014,2017,Comedy,Movie,NR,False,5.9,-
The Bar,2017,2017,Drama,Movie,TV-MA,False,7.6,-
Manmadhudu 2,2019,2019,"Comedy,Drama,Romance",Movie,TV-MA,False,4.6,-
Team Kaylie,2019,2019,Comedy,TV Show,TV-PG,True,5.9,Netflix
Under the Eiffel Tower,2018,2019,Romance,Movie,TV-MA,False,4.9,-
Audrie & Daisy,2016,2016,Documentary,Movie,TV-14,True,7.2,-
Iliza Shlesinger: Confirmed Kills,2016,2016,Comedy,Movie,TV-MA,False,6.5,-
BONDING,2019,2019,-,TV Show,TV-MA,False,-,-
Do Paise Ki Dhoop Chaar Aane Ki Baarish,2009,2019,-,Movie,TV-14,False,-,-
20 Feet From Stardom,2013,2018,-,Movie,PG-13,False,-,-
In Darkness,2018,2018,"Mystery,Thriller",Movie,TV-MA,False,5.8,-
Gaga: Five Foot Two,2017,2017,"Documentary,Music",Movie,TV-MA,True,7.0,-
The Bad Batch,2016,2017,"Action,Adventure,Animation",Movie,R,True,8.1,-
SMOSH: The Movie,2015,2015,-,Movie,PG-13,False,-,-
King of Boys,2018,2019,Drama,Movie,TV-MA,False,5.9,-
Merry Men: The Real Yoruba Demons,2018,2019,Comedy,Movie,TV-MA,False,5.4,-
Sarah's Key,2010,2019,-,Movie,PG-13,False,-,-
The Wedding Party 2: Destination Dubai,2017,2019,Comedy,Movie,TV-14,False,4.5,-
Vagabond,2019,2019,"Animation,Short",TV Show,TV-MA,False,7.0,Netflix
Battlefish,2018,2018,Reality-TV,TV Show,TV-MA,True,7.3,Netflix
DRAGON PILOT: Hisone & Masotan,2018,2018,-,TV Show,TV-14,False,-,-
Hilda,2018,2018,"Documentary,Short",TV Show,TV-Y7,False,8.7,Netflix
Maniac,2018,2018,"Comedy,Drama,Sci-Fi",TV Show,TV-MA,True,7.8,Netflix
Quincy,2018,2018,Documentary,Movie,TV-MA,True,7.7,-
Rafinha Bastos: Ultimatum,2018,2018,-,Movie,TV-MA,False,-,-
The Good Cop,2018,2018,"Comedy,Crime,Drama",TV Show,TV-PG,True,7.0,Netflix
Between Two Ferns: The Movie,2019,2019,Comedy,Movie,TV-MA,True,6.1,-
