Genre,Anzahl
Crime,232
Romance,174
Thriller,328
Adventure,124
\N,134
Drama,1047
War,16
Documentary,355
Reality-TV,71
Family,73
Game-Show,18
Fantasy,67
Adult,17
-,247
History,38
Mystery,110
Musical,23
Animation,51
Music,49
Film-Noir,2
Horror,211
Short,5
Western,17
Biography,73
Comedy,452
Sport,31
Action,240
Talk-Show,25
Sci-Fi,111
News,12
