Genre,Anzahl
Crime,18
Romance,4
Thriller,8
Adventure,11
\N,1
Drama,32
Reality-TV,3
Fantasy,5
Game-Show,2
-,6
Mystery,6
Animation,4
Music,1
Horror,4
Biography,1
Comedy,19
Action,7
Sci-Fi,6
News,1
