Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Larceny,2017,-,1,0,0,0,-,-,False,movie,Comedy,4.4
Larceny,2017,-,1,0,0,0,-,-,False,movie,Comedy,-
License To Drill Louisiana,-,16+,1,0,0,0,-,-,False,-,-,-
Love Around,2016,-,1,0,0,0,-,-,False,-,-,-
Magic Carpet Ride,-,13+,1,0,0,0,-,-,False,-,-,-
Maid-Sama!,2019,-,-,-,-,-,-,-,False,-,-,-
Maze,-,-,0,1,0,0,-,-,False,movie,"Drama,Romance",6.3
Maze,-,-,0,1,0,0,-,-,False,movie,\N,-
Maze,-,-,0,1,0,0,-,-,False,movie,"Crime,Drama,History",5.9
Maze,-,-,0,1,0,0,-,-,False,movie,Drama,-
Middle Men,-,18+,0,1,1,0,-,-,False,movie,"Action,Comedy,Crime",5.8
Middle Men,-,18+,0,1,1,0,-,-,False,movie,"Comedy,Crime,Drama",6.8
Minecraft Survival with Brick Show Brian!,-,-,0,0,1,0,-,-,False,-,-,-
Mirror Mirror 2: Raven Dance,-,18+,0,0,1,0,-,-,False,movie,Horror,3.7
Miss Stevens,2016,-,0,1,0,0,-,-,False,movie,"Comedy,Drama",6.6
Nemesis,-,18+,0,0,1,0,-,-,False,tvSeries,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,\N,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,"Action,Thriller",-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,"Action,Adventure,Fantasy",-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Adult,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,"Documentary,Drama",-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Drama,6.7
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Thriller,-
Nemesis,-,18+,0,0,1,0,-,-,False,tvSeries,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Thriller,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Action,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Drama,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,\N,-
Nemesis,-,18+,0,0,1,0,-,-,False,tvSeries,"Mystery,Sci-Fi,Short",8.8
Nemesis,-,18+,0,0,1,0,-,-,False,movie,Thriller,-
Nemesis,-,18+,0,0,1,0,-,-,False,movie,"Action,Sci-Fi,Thriller",5.4
Nightmares,-,-,0,0,1,0,-,-,False,movie,"Horror,Thriller",4.5
Nightmares,-,-,0,0,1,0,-,-,False,movie,"Horror,Sci-Fi",5.8
Nightmares,-,-,0,0,1,0,-,-,False,movie,Drama,-
Nightmares,-,-,0,0,1,0,-,-,False,tvSeries,Horror,2.6
Nightmares,-,-,0,0,1,0,-,-,False,tvSeries,Action,-
Nightmares,-,-,0,0,1,0,-,-,False,tvSeries,Comedy,-
